license_plate;provider;acquisizione;brand;model;category;Car;Location;branch_office;active;bucket;Active;Date In; Canone imponibile ; Canone ivato ; Canone assicurazione ;Date Out
GN868CV;Vivarent;RENT;Opel;Corsa;Economy Automatic (group C1);EDAR;Roma Ciampino;3;No;Inattiva;No;2023-08-10; 498,00 € ; 607,56 € ; -   € ;dic-24
GK322MH;Vivarent;RENT;Fiat;500;Mini (group A);MCMR;Cassino;1;No;Inattiva;No;2023-06-14; 288,52 € ; 351,99 € ; -   € ;dic-24
GK345MH;Vivarent;RENT;Fiat;500;Mini (group A);MCMR;Roma Fiumicino;4;No;Inattiva;No;2023-06-21; 288,52 € ; 351,99 € ; -   € ;dic-24
GJ178CL;Vivarent;RENT;Fiat;Panda;Small (group B);MDMR;Trapani Porto;10;No;Inattiva;No;2022-04-14; 353,02 € ; 430,68 € ; -   € ;dic-24
GJ228CL;Vivarent;RENT;Fiat;Panda;Small (group B);MDMR;Trapani Porto;10;No;Inattiva;No;2022-04-14; 352,39 € ; 429,92 € ; -   € ;dic-24
GJ873PY;Vivarent;RENT;Fiat;Panda;Small (group B);MDMR;Trapani Porto;10;No;Inattiva;No;2022-05-25; 347,63 € ; 424,11 € ; -   € ;dic-24
GJ875PY;Vivarent;RENT;Fiat;Panda;Small (group B);MDMR;Trapani Porto;10;No;Inattiva;No;2022-05-25; 352,39 € ; 429,92 € ; -   € ;dic-24
GJ698VL;Vivarent;RENT;Fiat;Panda;Small (group B);MDMR;Napoli Capodichino;7;No;Inattiva;No;2022-05-18; 342,86 € ; 418,29 € ; -   € ;dic-24
GJ699VL;Vivarent;RENT;Fiat;Panda;Small (group B);MDMR;Cassino;1;No;Inattiva;No;2022-05-18; 342,86 € ; 418,29 € ; -   € ;gen-25
GJ944FP;Vivarent;PROPRIETÀ;Fiat;500;Mini (group A);MCMR;Cassino;1;No;Inattiva;No;2022-05-01; 1,00 € ; -   € ; 122,56 € ;gen-25
GJ946FP;Vivarent;PROPRIETÀ;Fiat;500;Mini (group A);MCMR;Cassino;1;No;Inattiva;No;2022-05-01; 1,00 € ; -   € ; 122,56 € ;gen-25
GL280MM;Vivarent;PROPRIETÀ;Fiat;Panda;Small (group B);MDMR;Cassino;1;No;Inattiva;No;2022-04-01; 1,00 € ; -   € ; 120,17 € ;gen-25
GL287MM;Vivarent;PROPRIETÀ;Fiat;Panda;Small (group B);MDMR;Cassino;1;No;Inattiva;No;2022-04-01; 1,00 € ; -   € ; 120,17 € ;gen-25
GL302MM;Vivarent;PROPRIETÀ;Fiat;Panda;Small (group B);MDMR;Cassino;1;No;Inattiva;No;2022-04-01; 1,00 € ; -   € ; 120,17 € ;gen-25
GN835JD;Vivarent;PROPRIETÀ;Renault;Clio;Economy (group C);EDMR;Cassino;1;No;Inattiva;No;2023-06-01; 1,00 € ; -   € ; 114,11 € ;gen-25
GP010HP;Vivarent;PROPRIETÀ;Renault;Clio;Economy (group C);EDMR;Cassino;1;No;Inattiva;No;2023-06-01; 1,00 € ; -   € ; 114,11 € ;gen-25
GP015HP;Vivarent;PROPRIETÀ;Renault;Clio;Economy (group C);EDMR;Cassino;1;No;Inattiva;No;2023-06-01; 1,00 € ; -   € ; 114,11 € ;gen-25
GP017HP;Vivarent;PROPRIETÀ;Renault;Clio;Economy (group C);EDMR;Cassino;1;No;Inattiva;No;2023-06-01; 1,00 € ; -   € ; 114,11 € ;gen-25
GK321MH;Vivarent;RENT;Fiat;500;Mini (group A);MCMR;Napoli Capodichino;7;No;Inattiva;No;2023-07-11; 288,52 € ; 351,99 € ; -   € ;gen-25
GK346MH;Vivarent;RENT;Fiat;500;Mini (group A);MCMR;Cassino;1;No;Inattiva;No;2023-06-20; 288,52 € ; 351,99 € ; -   € ;gen-25
GK349MH;Vivarent;RENT;Fiat;500;Mini (group A);MCMR;Roma Fiumicino;4;No;Inattiva;No;2023-06-15; 288,52 € ; 351,99 € ; -   € ;gen-25
GJ874PY;Vivarent;RENT;Fiat;Panda;Small (group B);MDMR;Roma Ciampino;3;No;Inattiva;No;2022-05-26; 352,39 € ; 429,92 € ; -   € ;gen-25
GK347MH;Vivarent;RENT;Fiat;500;Mini (group A);MCMR;Cassino;1;No;Inattiva;No;2023-06-14; 288,52 € ; 351,99 € ; -   € ;gen-25
GL220GR;Vivarent;RENT;Peugeot;2008;Large (group D);SDMR;Roma Fiumicino;4;No;Inattiva;No;2022-11-07; 494,98 € ; 603,88 € ; -   € ;gen-25
GL262GR;Vivarent;RENT;Peugeot;2008;Large (group D);SDMR;Cassino;1;No;Inattiva;No;2022-11-07; 494,98 € ; 603,88 € ; -   € ;gen-25
GN646WM;Vivarent;RENT;Peugeot;3008;Suv Automatic (group J1);FFAR;Cassino;1;No;Inattiva;No;2023-06-05; 550,82 € ; 672,00 € ; -   € ;gen-25
GK168MH;Vivarent;RENT;Fiat;500;Mini (group A);MCMR;Cassino;1;No;Inattiva;No;2023-06-21; 288,52 € ; 351,99 € ; -   € ;gen-25
GK348MH;Vivarent;RENT;Fiat;500;Mini (group A);MCMR;Roma Ciampino;3;No;Inattiva;No;2023-06-14; 288,52 € ; 351,99 € ; -   € ;gen-25
GP886KM;Vivarent;RENT;Peugeot;3008;Suv Automatic (group J1);FFAR;Cassino;1;No;Inattiva;No;2023-07-20; 550,87 € ; 672,06 € ; -   € ;gen-25
GJ541AG;Vivarent;RENT;Peugeot;3008;Suv Automatic (group J1);FFAR;Roma Fiumicino;4;No;Inattiva;No;2022-07-05; 479,16 € ; 584,58 € ; -   € ;feb-25
GK178NL;Vivarent;RENT;Jeep;Renegade;Large (group D);IGMR;Trapani Porto;10;No;Inattiva;No;2022-07-13; 409,00 € ; 498,98 € ; -   € ;feb-25
GH163YM;Vivarent;RENT;Mercedes Benz;Sprinter Hydraulic Tailgate;Furgone Cassonato Sponda Idraulica (group K4);XKMR;Cassino;1;No;Inattiva;No;2024-12-31; 1.450,00 € ; 1.769,00 € ; -   € ;feb-25
GL217GR;Vivarent;RENT;Peugeot;2008;Large (group D);SDMR;Roma Fiumicino;4;No;Inattiva;No;2022-11-07; 494,98 € ; 603,88 € ; -   € ;feb-25
GW907YG;Vivarent;RENT;Mercedes Benz;Sprinter Hydraulic Tailgate;Furgone Cassonato Sponda Idraulica (group K4);XKMR;Cassino;1;No;Inattiva;No;2025-05-01; 1.450,00 € ; 1.769,00 € ; -   € ;feb-25
GX709KK;Vivarent;RENT;Mercedes Benz;Sprinter Hydraulic Tailgate;Furgone Cassonato Sponda Idraulica (group K4);XKMR;Cassino;1;No;Inattiva;No;2025-01-01; 1.450,00 € ; 1.769,00 € ; -   € ;feb-25
GK190MH;Vivarent;RENT;Fiat;500;Mini (group A);MCMR;Trapani Porto;10;No;Inattiva;No;2023-06-14; 288,52 € ; 351,99 € ; -   € ;feb-25
GK250MH;Vivarent;RENT;Fiat;500;Mini (group A);MCMR;Trapani Porto;10;No;Inattiva;No;2023-06-20; 288,52 € ; 351,99 € ; -   € ;feb-25
GN625MS;Vivarent;RENT;DS;DS7;Premium (group P);PFAR;Napoli Capodichino;7;No;Inattiva;No;2023-08-08; 923,61 € ; 1.126,80 € ; -   € ;feb-25
GN246MT;Vivarent;PROPRIETÀ;Fiat;Tipo SW;Station Wagon Automatic (group S1);IWAR;Roma Fiumicino;4;No;Inattiva;No;2023-08-09; 0 ; 0 ; 0 ;feb-25
